config,group,case_count,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precision_at_1,precision_at_3,precision_at_5,precision_at_10,ragas_id_context_precision,ragas_id_context_recall,mean_latency_ms,p95_latency_ms
candidate_aware,diagnostic:product_specific,18,0.3888888888888889,0.7777777777777778,0.8888888888888888,0.9444444444444444,0.5833333333333334,0.3055555555555556,0.6666666666666666,0.8055555555555556,0.9444444444444444,0.3888888888888889,0.2962962962962963,0.21111111111111114,0.13333333333333336,0.13333333333333336,0.9444444444444444,175.57160555553412,228.64793500125407
candidate_aware,diagnostic:temporal,18,0.6111111111111112,0.7777777777777778,0.8333333333333334,0.9444444444444444,0.7204365079365079,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.9444444444444444,0.6111111111111112,0.2962962962962963,0.21111111111111114,0.1277777777777778,0.1277777777777778,0.9444444444444444,200.67654999987403,282.32671499981734
candidate_aware,question_type:adverse_reaction,8,0.875,1.0,1.0,1.0,0.9375,0.4375,0.9375,1.0,1.0,0.875,0.625,0.4,0.2,0.2,1.0,231.31637499977842,350.0143450004088
candidate_aware,question_type:fact_specific,10,0.4,0.7,0.9,0.9,0.595,0.35,0.7,0.9,0.9,0.4,0.3,0.22000000000000003,0.11000000000000001,0.11000000000000001,0.9,216.35900000028414,273.9385100016534
candidate_aware,question_type:monitoring,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,0.1,1.0,172.62234999952852,199.34168499980842
candidate_aware,question_type:negative_out_of_scope,0,,,,,,,,,,,,,,,,163.5245909092191,210.6753499997467
candidate_aware,question_type:paraphrase,6,0.5,0.5,0.8333333333333334,0.8333333333333334,0.5750000000000001,0.5,0.5,0.8333333333333334,0.8333333333333334,0.5,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.8333333333333334,194.671433334103,212.61162500195496
candidate_aware,question_type:preparation,10,0.5,0.8,1.0,1.0,0.6950000000000001,0.4,0.75,0.95,1.0,0.5,0.3,0.22000000000000003,0.12000000000000002,0.12000000000000002,1.0,210.96928000033586,306.4176900002166
candidate_aware,question_type:procedure,6,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.047619047619047616,0.5714285714285714,0.6785714285714285,0.8333333333333334,0.3333333333333333,0.38888888888888884,0.3,0.21666666666666667,0.21666666666666667,0.8333333333333334,187.40587142851186,226.79268000038064
candidate_aware,question_type:product_specific,18,0.3888888888888889,0.7777777777777778,0.8888888888888888,0.9444444444444444,0.5833333333333334,0.3055555555555556,0.6666666666666666,0.8055555555555556,0.9444444444444444,0.3888888888888889,0.2962962962962963,0.21111111111111114,0.13333333333333336,0.13333333333333336,0.9444444444444444,175.57160555553412,228.64793500125407
candidate_aware,question_type:temporal,18,0.6111111111111112,0.7777777777777778,0.8333333333333334,0.9444444444444444,0.7204365079365079,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.9444444444444444,0.6111111111111112,0.2962962962962963,0.21111111111111114,0.1277777777777778,0.1277777777777778,0.9444444444444444,200.67654999987403,282.32671499981734
rank_preserving,diagnostic:colloquial,15,0.6,0.8,0.8666666666666667,0.9333333333333333,0.7166666666666667,0.5,0.6666666666666666,0.8333333333333334,0.9333333333333333,0.6,0.26666666666666666,0.21333333333333335,0.12666666666666668,0.12666666666666668,0.9333333333333333,201.7494933336517,285.6954600016252
rank_preserving,diagnostic:exact_medical_or_product_term,15,0.4,0.7333333333333333,0.8,0.8666666666666667,0.5688888888888889,0.3333333333333333,0.6333333333333333,0.7333333333333333,0.8666666666666667,0.4,0.24444444444444444,0.17333333333333334,0.11333333333333334,0.11333333333333334,0.8666666666666667,181.004226666361,243.16251000036567
rank_preserving,diagnostic:long_natural_language,3,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.047619047619047616,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.3333333333333333,0.3333333333333333,0.20000000000000004,0.13333333333333333,0.13333333333333333,0.7619047619047619,167.0428333327436,210.13087999981508
rank_preserving,diagnostic:numeric_or_time,11,0.5454545454545454,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.4090909090909091,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.10909090909090911,0.10909090909090911,0.8181818181818182,179.04819999958735,256.47780000099374
rank_preserving,diagnostic:paraphrase,6,0.5,0.5,0.5,0.8333333333333334,0.5555555555555556,0.5,0.5,0.5,0.8333333333333334,0.5,0.16666666666666666,0.10000000000000002,0.08333333333333333,0.08333333333333333,0.8333333333333334,194.69158333383044,212.6418000020749
rank_preserving,diagnostic:procedure,6,0.3333333333333333,1.0,1.0,1.0,0.611111111111111,0.10714285714285714,0.5714285714285714,0.6785714285714285,0.8333333333333334,0.3333333333333333,0.38888888888888884,0.3,0.21666666666666667,0.21666666666666667,0.8333333333333334,187.42097142837468,226.82195000024876
